annotation,labels,GRNTI
der artikel präsentiert eine analyse der sozialpsychologischen faktoren der wirksamkeit de unternehmertums die autoren präsentieren die ergebnisse einer studie an einer russischen stichprobe erfolgreicher und erfolgloser unternehmer berücksichtigt werden die identifizierten sozialpsychologischen faktoren de erfolgs unternehmerischen handelns da überwiegen der motive für gemeinsames handeln gegenüber den motiven de eigenen wohlbefindens der wunsch nach persönlicher überlegenheit prestige,11,Психология
frühere analysen weicher röntgenintensitätsschwankungen in den entladungen mit anfänglichen wasserstoffdrücken von mpa zeigten das diese durch periodische änderungen im durchmesser de entladungskanals verursacht werden könnten in fortsetzung dieser untersuchungen wurde der durchmesser der aktuellen zone definiert die experimentellen änderungen de durchmessers entsprechen den berechneten schätzungen e wurde festgestellt das die schwingungsdauer proportional zur quadratwurzel der ordnungszahl de initiierenden drahtmaterials ist diese tatsache ist ein argument dafür das die durchmesserschwankungen de entladungskanals mit den metalldämpfen mit einem abgestimmten magnetischen und gaskinetischen druck zusammenhängen beim übergang zum anfangsdruck von mpa der durch adiabatische kompression entsteht kommt e zu einer vergrößerung der amplitude de schalldrucks an der entladungskammerwand und gleichzeitig zu einem anstieg der spannungsschwankungen in der entladung die amplitude der druckschwankungen an der wand erreicht mpa und der spannungssprung beträgt kv,22,Физика
veränderungen in der modernen gesellschaft vollziehen sich sehr schnell daher argumentieren viele moderne wissenschaftler das kreative menschen die im prozess kreativer tätigkeit wirtschaftliche werte schaffen zum hauptfaktor für die erfolgreiche entwicklung eines land einer separaten region werden sie bilden bereits eine neue kreative klasse von der kreativen klasse dominierte regionen werden zu zentren der innovation und entwicklung der artikel gibt einen kurzen theoretischen überblick über die untersuchung de problem der kreativität und kreativität in der psychologie vorgestellt werden die ergebnisse einer studie zum entwicklungsstand der kreativität von schülern studierende die sich mit künstlerischer kreativität befassen weisen ein höheres maß an kreativitätsentwicklung auf,11,Психология
der artikel diskutiert die besonderheiten des einflusses der psychologischen eigenschaften einer person auf den erfolg und die wirksamkeit ihrer beruflichen tätigkeit dem selbstwertgefühl und den zwischenmenschlichen beziehungen kommt in der struktur der professionalisierung eines menschen eine besondere bedeutung zu die besonderheiten der sozialen stellung eines mitarbeiters in einem arbeitskollektiv oder einer organisation werden durch die äußere einschätzung der umliegenden menschen kollegen und der führungskraft bestimmt die positive oder negative einstellung der unmittelbaren umgebung trägt zur bildung de beruflichen selbstwertgefühls der mitarbeiter hinsichtlich ihrer fähigkeiten und fertigkeiten bei au diesem grund beginnt die produktivität seiner aktivitäten von externer zustimmung und unterstützung abhängig zu sein die persönlichkeit selbst schafft aber auch die voraussetzungen für die korrektur und regulierung ihres beruflichen verhaltens ihrer professionalität ein positives selbstwertgefühl erhält einen wichtigen regulierenden charakter in der beruflichen tätigkeit der mitarbeiter und stimuliert ihr kreatives potenzial zwischenmenschliche und geschäftliche beziehungen die in der organisation entstehen entsprechen weitgehend dem markt interaktionsmodell,11,Психология
regelmäßige körperliche aktivität wirkt sich positiv auf den gesundheitszustand von sportveteranen im rentenalter au wie die studie zeigte sind sportveteranen im rentenalter die nach dem ausscheiden au dem sport weiter sport treiben weniger anfällig für erkrankungen de herz kreislauf system,57,Физическая Культура И Спорт
da entwickelte und erprobte programm de freizeitjoggens mit vorschulkindern trägt dazu bei die körperliche entwicklung und fitness der beteiligten zu steigern und ihre gesundheit zu verbessern,10,Народное Образование. Педагогика
da körperkulturprogramm insbesondere sein theoretischer teil soll da selbstwertgefühl die selbstbildung und die selbstentwicklung von mädchen positiv beeinflussen interesse und wissen im bereich der körperkultur zu wecken die qualität der leistung zu verbessern be den mädchen selbstvertrauen gibt und ihre aktivitäten zum erfolg motiviert,10,Народное Образование. Педагогика
der artikel skizziert einige methodische ansätze zur durchführung von schwimmunterricht bei kindern mit läsionen de zentralnervensystems,56,Медицина И Здравоохранение
zusammenfassung die elektronische struktur von drei aza bor dipyridomethen derivaten die verschiedene kohlenwasserstoffgruppen be boratom enthalten wurde auf der grundlage von daten der ultraviolett photoelektronenspektroskopie und berechnungen in der näherung der dichtefunktionaltheorie untersucht in übereinstimmung mit den experimentellen und berechneten daten haben die höchsten besetzten molekülorbitale von anthracen acridin und den untersuchten komplexen den gleichen charakter für die drei untersuchten verbindungen wurde der einfluss von alkyl und phenylgruppen al substituenten auf die elektronische struktur nachgewiesen die parameter der elektronischen struktur von aza bor dipyridomethen phenylgruppen be boratom und seinem b diketonat analogon werden verglichen es wird gezeigt das die berechneten ergebnisse im energiebereich bi ev mit ultravioletten photoelektronenspektren korrelieren,24,Химия
es wird ein kurzer überblick über die ergebnisse von studien zu einer reihe von klassen stickstoffhaltiger borchelatkomplexe mittels ultraviolett photoelektronenspektroskopie und dichtefunktionaltheorie gegeben die quantenchemische modellierung der auswirkungen der substitution des komplexbildners der heteroatome und funktionellen gruppen in den α β und γ positionen de chelatrings ermöglichte die ermittlung der merkmale der elektronischen struktur der untersuchten komplexe e wurde festgestellt das die substitution von heteroatomen im chelatzyklus keinen signifikanten einfluss auf die struktur des oberen besetzten molekülorbitals homo hat bei imidoylamidinat komplexen kommt e im gegensatz zu formazanaten und b diketonaten nicht zu einer merklichen vermischung der p orbitale der chelat und benzolringe in kondensierten stickstoffheterozyklen wird eine stabilisierung de homo um ev und der p orbitale de benzolzyklus um ev beobachtet da homo von substituiertem azaborondipyridomethen korreliert mit dem p orbital von anthracen und acridin da die feinstruktur der ersten bande bestimmt e zeigt sich das die berechneten ergebnisse im energiebereich unter ev die energieintervalle zwischen den ionisierten zuständen der komplexe gut wiedergeben,24,Химия
die infrarotspektren von bordifluorid acetylacetonat komplexen und ihren halogen substituierten derivaten f b aax x h cl br i im kristallinen zustand wurden untersucht basierend auf quantenchemischen berechnungen mit der dft b lyp methode im g d p basissatz wurde die wirkung eines substituenten auf die geometrie und das kraftfeld von molekülen aufgedeckt basierend auf den berechnungen der normalschwingungen nc und der potentiellen energieverteilung rpd wurde eine detaillierte zuordnung der ir absorptionsbanden durchgeführt die banden die be empfindlichsten auf die natur de substituenten reagieren gehören zu schwingungen an denen überwiegend die cc und co bindungen de ring beteiligt sind sowie zu einigen niederfrequenten nicht charakteristischen nc an denen da x atom beteiligt ist intermolekulare wechselwirkungen bestätigen die xrd daten haben den größten einfluss auf die charakteristischen banden de bf fragment in den bereichen cm die sequenzen der frequenzverschiebungen der ir banden in den substituentenreihen die diesen wechselwirkungen entsprechen sind angegeben,22,Физика
der artikel widmet sich der untersuchung der elektronischen struktur und der orbitalnatur der lumineszenzanregung einer reihe von molekülkristallen mit der allgemeinen formel en ax wobei en organische und anorganische kationen diphenylguanidinium guanidinium und cäsium sind n ist die anzahl der kationen ax te iv und sb iii anionen x halogenatome cl oder br die elektronische struktur dieser molekülkristalle wurde au den daten der röntgenphotoelektronenspektroskopie der kern und valenzniveaus und der quantenchemischen modellierung im rahmen der dichtefunktionaltheorie in kombination mit den zuvor gewonnenen daten der röntgenbeugungsanalyse bestimmt,22,Физика
die wirkung eines zusätzlichen aromatischen liganden auf die elektronische struktur von nickel ii und kobalt ii bi acetylacetonaten wurde mittels xps und dft b lyp def tzvpp untersucht eine analyse der ladungen der atome der geometrie der verbindungen der verteilung der elektronendichte und der wechselwirkung der molekülorbitale der bestandteile de komplexes ließ den schluss zu das die bindung des neutralen liganden an das bi chelat ist ionisch,24,Химия
addukte der tris b diketonate eu acac phen und eu hfac phen wurden mittels uve dampfspektroskopie xps der kondensierten phase und quantenchemie untersucht die elektronische struktur und die merkmale der natur chemischer bindungen in addukten wurden ermittelt die geometrische struktur der untersuchten verbindungen in der gasphase wird bestimmt e wurde eine technik entwickelt um die bänder von gasphasen photoelektronen hei spektren sowie den valenzbereich von röntgen photoelektronenspektren zuzuordnen quantenchemische berechnungen im rahmen der dichtefunktionaltheorie ermöglichten es die muster der veränderungen der elektronischen struktur von chelatkomplexen in abhängigkeit von der fluorierung de liganden zu bestimmen und den einfluss de phenanthrolin moleküls auf die elektronische struktur zu untersuchen von chelatringen und zur analyse der elektronischen effekte die durch die substitution von trifluormethyl durch methylgruppen in liganden verursacht werden,24,Химия
mithilfe der röntgenphotoelektronenspektroskopie xps wurde eine detaillierte untersuchung de zustands der komponenten hocheffizienter katalysatoren für die niedertemperaturoxidation von kohlenmonoxid pt ceo durchgeführt mithilfe einer präzisionskalibrierung der spektren in bezug auf einen internen standard und des verfahrens zur zerlegung der spektren von ce d und pt f in elementare dubletts wurden die merkmale der wechselwirkung von platin mit dem ceroxidgitter bestimmt es wird gezeigt das e mit der copräzipitationsmethode je nach qualität der ausgangslösungen möglich ist sowohl homogene feste platinlösungen im ceroxidgitter al auch lösungen mit mehratomigen platinassoziationen vom typ pto m zu erhalten es wurde festgestellt das bei der lagerung homogener fester ptceox lösungen an der luft bei raumtemperatur ein langsamer übergang homogener lösungen in den zustand von lösungen mit platinassoziationen stattfindet wir untersuchten auch mechanische mischungen von nanopartikeln aus metallischem platin und ceroxid die durch laserablation während ihrer kalzinierung an luft synthetisiert wurden die auf basis der pt f spektren erhaltenen ergebnisse bestätigen vollständig die spezifität der wechselwirkung von platin mit ceroxid,24,Химия
der cu ii ghk komplex cu ii gly his lys glycyl histidyl lysin ist al modellpeptid für die entwicklung einer technik zur untersuchung der struktur von metallzentren in proteinen insbesondere dem von interesse kupferbindungszentrum in β amyloid die röntgenabsorptionsspektren wurden für eine wässrige lösung von cu ii ghk gemessen die stabilität de komplexes unter einwirkung von röntgenstrahlung wurde mittels optischer spektroskopie überwacht berücksichtigt wurden strukturmodelle mit unterschiedlicher koordination de kupferzentrums die auf der grundlage der kristallographischen struktur erstellt wurden basierend auf der analyse der theoretischen röntgenabsorptionsspektren der konstruierten strukturen wurden zwei optimale modelle ausgewählt für die ausgewählten modelle wurde die optimierung struktureller parameter durchgeführt e wurde festgestellt das da spektrum de fünf koordinaten modells mit wassermolekülen in der äquatorialen und unteren axialen position mit cu o abständen von bzw å die beste übereinstimmung mit dem experiment zeigt,24,Химия
zusammenfassung e wurde eine reihe von cu ni und mn komplexen auf basis von formylpyron und formylcumarin azomethinen mit diaminopropanol erhalten eine analyse der struktur von röntgen k absorptionskanten xanes und exafs von cu ni und mn komplexen unter verwendung von fourier und wavelet transformationen ermöglichte e die parameter der lokalen atomstruktur zu bestimmen und die bildung beider eindeutig zu beweisen dimere und monomerstrukturen für diese koordinationsverbindungen es wird gezeigt das die möglichkeit der bildung zweikerniger verbindungen hauptsächlich von der art des brückenliganden und nicht von der art des mehrzähnigen azomethinliganden pyron oder cumarin abhängt die erhaltenen strukturergebnisse stimmen gut mit den daten magnetochemischer untersuchungen der komplexe überein,24,Химия
nanokompositsysteme auf basis ternärer halbleiterverbindungen znsxse x verschiedener zusammensetzungen x in dielektrischen matrizen au nanoporösem anodischem aluminiumoxid aao wurden durch thermisches hochvakuumspritzen einer mischung au zinkpulvern synthetisiert sulfid und selenid der einfluss der atomkonzentration fester lösungen und der strukturparameter der aao templatmatrix auf die kristallstruktur der synthetisierten nanokomposite und die lokale atomare umgebung von zn und se atomen wurde untersucht,24,Химия
der artikel enthüllt die merkmale der umsetzung de mechanismus der öffentlich privaten partnerschaft al eine der wirksamen formen der integration von privatem und öffentlichem kapital sowie den umfang einer solchen partnerschaft in einer marktwirtschaft,5,Экономика И Экономические Науки
berücksichtigt werden marketingkommunikationen die auf den materialien der republik kalmückien basieren,5,Экономика И Экономические Науки
der artikel befasst sich mit fällen in denen sich die einstellung eines beamten zu seiner arbeit ändert basierend auf den folgenden parametern der formellen stellung des arbeitnehmers in der allgemeinen hierarchie dieser institution seinem offiziellen status da niveau der allgemeinen kultur des mitarbeiters,11,Психология
die risikobewertung bleibt trotz technologischer fortschritte subjektiv es ist unmöglich alle nuancen zu berechnen oft aufgrund eines zufälligen unvorhergesehenen faktors wodurch das risiko eines misserfolgs steigt in diesem fall entsteht der organisation ein verlust oder ein finanzieller schaden es ist wichtig alle möglichen ergebnisse richtig zu berechnen und selbst wenn sie vom erwarteten zeitplan abweichen ist e wichtig mit gewinn zu rechnen sonst wird da geschäft scheitern,5,Экономика И Экономические Науки
der artikel beschreibt die strukturellen und semantischen arten von phraseologismen phytonymen mit einer anthropozentrischen komponente die in russischen dialekten auf dem territorium der republik mordwinien existieren,12,Языкознание
es wurden theoretische und methodische fragen der nachhaltigen entwicklung de milchproduktmarktes in der region untersucht,49,Сельское И Лесное Хозяйство
in dem artikel werden auf der grundlage der identifizierten faktoren und erscheinungsformen der beruflichen deformation mögliche richtungen zur verhinderung der beruflichen deformation der persönlichkeit von beamten betrachtet die al negative veränderungen in der persönlichkeit eines beamten definiert werden die durch die langjährige berufsdeformation verursacht werden fristgerechte leistung der gleichen arbeit oder durch widersprüche in der arbeit hervorgerufen die sich sowohl negativ auf die effizienz der geleisteten arbeit al auch auf verschiedene beziehungen auswirken die in der arbeit und außerhalb der arbeit entstehen,5,Экономика И Экономические Науки
enthält eine systematische darstellung de studiengangs kulturwissenschaften grundlagen wissenschaftlicher und theoretischer erkenntnisse zur theorie und geschichte der weltkultur begriffswörterbücher und kurze informationslisten zu den in den modulthemen enthaltenen persönlichkeiten der weltkultur materialien für praktika und seminare fragen der kontrollierten selbstständigen arbeit der studierenden da vom autor vorgeschlagene system zur bewertung de wissens d studierenden sowie fragen der aktuellen und wirksamen kontrolle werden vorgestellt e richtet sich an studierende humanitärer fachrichtungen an weiterführenden schulen im vollzeit und fernstudium,9,Культура. Культурология
da alumni unterstützungs und lebensgestaltungsprogramm wurde auf der grundlage de waisenhausentwicklungsprogramms der zweiten generation in der stadt asow de bildungsprogramms der neuen generation in übereinstimmung mit dem modernen regulatorischen und rechtlichen rahmen für bildung und erziehung auf bundes und regionalebene entwickelt da programm ist auf den zeitraum bi ausgelegt und umfasst die bildung eines komplexes spiritueller und moralischer werte sowie philosophischer und methodischer leitlinien für alle themen des unterstützungsprozesses und der lebensgestaltung die die wahl der formen und methoden bestimmen aktivität die art der beziehungen zur umwelt im prozess der bildung der widerstandsfähigkeit der schüler und ihrer lebensqualität,10,Народное Образование. Педагогика
parechoviren gehören zu den häufigsten humanpathogenen erregern die für die infektionspathologie von neugeborenen und kindern in den ersten lebensjahren von bedeutung sind die echo und echo viren die ursprünglich al enteroviren entdeckt wurden und ihnen hinsichtlich der klinischen manifestationen der infektion in vielerlei hinsicht ähnlich sind wurden ende de jahrhunderts aufgrund molekularbiologischer merkmale in humane parechoviren derzeit die art parechovirus a isoliert und in eine eigenständige gattung parechovirus der familie picornaviridae isoliert,56,Медицина И Здравоохранение
behandelt werden die grundlagen der arbeit im autocad system der firma autodesk da konstruktionsaktivitäten automatisiert sowie möglichkeiten zur systemerweiterung,36,Автоматика. Вычислительная Техника
unter modernen bedingungen ist das studium der qualitativen merkmale der konzepte arbeit und,5,Экономика И Экономические Науки
der immobilienmarkt kann al eine reihe von mechanismen betrachtet werden die die übertragung von eigentumsrechten und damit verbundenen interessen die festlegung von preisen und die aufteilung von flächen auf konkurrierende landnutzungen erleichtern andererseits ist der immobilienmarkt eine reihe von beziehungen zur schaffung neuer immobilienobjekte sowie zu deren betrieb der immobilienmarkt kann al eine reihe regionaler lokaler märkte dargestellt werden die sich hinsichtlich der preise des risikos und der wirksamkeit von immobilieninvestitionen erheblich voneinander unterscheiden,5,Экономика И Экономические Науки
der leser präsentiert zum ersten mal beispiele der gefängnisliedfolklore der bewohner der region kemerowo die während folkloreübungen von schülern und lehrern der nfi kemsu ehemals kuzgpa ngpi von bi aufgenommen wurden anmerkungen zu den texten enthalten das notwendige angaben zu den sammlern interpreten informanten ort und zeit der texterstellung bibliographie,13,Литература. Литературоведение. Устное Народное Творчество
da problem der frühreife bleibt in fast allen anbaugebieten eine der wichtigen aufgaben der weizenzüchtung dieser katalog präsentiert die ergebnisse einer umfassenden studie über frühreifende akzessionen von sommerweichweizen aus der weltsammlung von vir in verschiedenen ökologischen und geografischen zonen russlands und der ehemaligen udssr um die wertvollsten quellen diesis merkmals zu identifizieren bei der durchführung dieser arbeit bestand die aufgabe darin ansätze für die umfassende untersuchung der besten proben der weltsammlung zu standardisieren an den versuchen waren alle versuchsstationen und stützpunkte beteiligt die mit sommerweichweizen arbeiten feldstudie sowie eine reihe methodischer labore de instituts und de versuchsnetzwerks laboranalysen für züchtungsrelevante merkmale da autorenteam dankt herrn dr s x wissenschaften v i krivchenko direktor de vir auf dessen initiative und unterstützung eine umfassende untersuchung frühreifender sommerweizenproben durchgeführt wurde die auswahl de quellenmaterials die formulierung der forschungsziele und deren organisation erfolgten unter der leitung von dr biol wissenschaften a f mereschko,25,Биология
da uk egg freut sich gemeinsam mit isgedr gastgeber diesis gemeinsamen internationalen treffens zu sein um forschung und klinische entwicklungen in diesem sich schnell entwickelnden und äußerst dynamischen bereich der genomik in der augenheilkunde auszutauschen die treffen stellt eine einzigartige gelegenheit dar arbeitsbeziehungen und kooperationen innerhalb der ophthalmologischen genetik gemeinschaft weltweit aufzubauen und weiterzuentwickeln und bietet ein abwechslungsreiches und ansprechendes programm mit präsentationen von wissenschaftlern klinikern und forschern die auf dem neuesten stand der technik sind unter anderem rückt die augenheilkunde weltweit an die spitze der gentherapieforschung da in diesem jahr in großbritannien mehrere studien in der frühphase eröffnet werden dy ist also eine sehr aufregende und einzigartige zeit für diejenigen die auf diesem gebiet arbeiten,56,Медицина И Здравоохранение
konzipiert für die erstausbildung in der automatisierten konstruktion von elementen auf basis de autocad system es enthält einzelaufgaben au dem bereich maschinenbau und hat daher praktischen nutzen,36,Автоматика. Вычислительная Техника
ziel dieser studie ist die entwicklung und verbesserung einer wissenschaftlich fundierten methodik zur ganzheitlichen bewertung de personalpotenzials einer hochschule im rahmen der modernisierung der bildungsaktivitäten die monographie basiert auf umfangreichem statistischen material da zum kreativen verständnis der praxis der qualitativen und quantitativen bewertung de personalpotenzials der universität beiträgt,5,Экономика И Экономические Науки
bietet grundlegende informationen zu protokollen und diensten berücksichtigt werden die tool zum konfigurieren und verwalten von servern sowie zum programmieren dynamischer webseiten,36,Автоматика. Вычислительная Техника
der artikel diskutiert die besonderheiten der entwicklung von anlageprozessen die eine ausgewogene und nachhaltige entwicklung der region gewährleisten,5,Экономика И Экономические Науки
der artikel widmet sich der untersuchung der probleme des staates und der trend in der entwicklung der regionalen wirtschaft und des sozialen bereichs sowie d definition von schwerpunktbereichen zur steigerung der attraktivität und wettbewerbsfähigkeit der region,5,Экономика И Экономические Науки
der markt für bildungsdienstleistungen weist eine reihe von merkmalen auf erstens wird dieser bereich vom staat reguliert zweitens sind bildungsdienstleistungen von gesellschaftlicher bedeutung und gesellschaftlichem wert den bildungseinrichtungen wird der auftrag auferlegt da intellektuelle potenzial der nation zu bewahren und zu entwickeln und in dieser hinsicht steigt die verantwortung der bildungseinrichtungen diese besonderheit wirkt sich auf die wahl der kanäle und kommunikationstechnologien für die werbung aus und erfordert einen besonderen stil der interaktion mit zielgruppen kontaktgruppen und der breiten öffentlichkeit,5,Экономика И Экономические Науки
lehr und methodenhandbuch zur durchführung von abschlussarbeiten für vollzeit und teilzeitstudierende der fakultät für agrarwirtschaft und ökologie in der studienrichtung agronomie schwerpunkt agrarwirtschaft,10,Народное Образование. Педагогика
es wird ein algorithmus zur vorhersage wirtschaftlicher variablen vorgeschlagen die nicht genau gemessen werden können nur da ungefähre intervall für ihre messung ist bekannt es wird ein beispiel für die prognose der verbraucherausgaben pro kopf gegeben die verwendung die prognosealgorithmus wird zum wunsch des forschers beitragen den mechanismus der wechselwirkung wirtschaftlicher variablen detaillierter zu verstehen und es ihm ermöglichen seine meinung über die erwarteten änderungsintervalle sowohl unabhängiger al auch abhängiger variablen zu stärken,5,Экономика И Экономические Науки
der artikel erörtert die notwendigkeit der entwicklung de wassertransports durch den einsatz de mechanismus der öffentlich privaten partnerschaft ppp,61,Организация И Управление
berücksichtigt wird die wirtschaftlichkeit de stromversorgungssystems einschließlich windkraftanlagen und photovoltaik wandlern elektrischen energiespeichern und einem backup dieselkraftwerk die wirksamkeit der gemeinsamen nutzung von wind und solarkraftwerken wird aufgezeigt,32,Энергетика
die sammlung umfasst materialien au den bereichen kunstgeschichte literaturwissenschaft religionswissenschaft philosophische anthropologie kulturphilosophie moderne probleme von wissenschaft und bildung kultursoziologie spirituelles leben die schicksale nationaler kulturen im kontext der globalisierung theorie und geschichte der kultur ethik ästhetik logik linguistik alle materialien werden in der autorenausgabe veröffentlicht,0,Общественные Науки В Целом
die monographie untersucht die theoretischen und angewandten probleme der strafrechtlichen verantwortlichkeit für mord artikel des strafgesetzbuches der russischen föderation der autor analysiert detailliert die zusammensetzung der morddelikte und geht ausführlich auf so komplexe themen wie den gegenstand von eingriffen in das leben die angemessenheit de strafsystems für diese verbrechen die latenzzeit von morden und die notwendigkeit einer reform des strafrechts ein im hinblick auf die regelung der verantwortung für morde einen großen raum in der monographie nimmt die lösung von qualifikationsproblemen ein die arbeit stützt sich in großem umfang auf wissenschaftliche fachliteratur zur strafrechtlichen verantwortlichkeit von morden sowie auf veröffentlichte gerichtspraxis für forscher lehrer und studenten einschließlich bachelor und masterstudenten juristischer fakultäten strafverfolgungsbeamte und alle die sich für die probleme des strafrechts de strafrechts und der strafrechtspolitik interessieren,6,Государство И Право. Юридические Науки
da handbuch enthält grundlegende informationen zur strategischen führung der organisation e ist für den einsatz im bildungsprozess im rahmen de studiengangs strategisches management sowie für die selbstständige arbeit von studierenden wirtschaftswissenschaftlicher fachrichtungen aller bildungsformen vorgesehen,5,Экономика И Экономические Науки
da handbuch richtet sich an studierende der studienrichtung wirtschaftswissenschaften dem studiengang international finance in englischer sprache da buch präsentiert moderne praktische beispiele für die erstellung ökonometrischer modelle realer wirtschaftssysteme die vorgestellten beispiele werden für schüler nützlich sein wenn sie selbst kreative hausaufgaben schreiben es wird eine detaillierte beschreibung aller phasen der modellbildung gegeben die zum verständnis der ursache wirkungs zusammenhänge in der wirtschaft für planung prognose und entscheidungsfindung erforderlich ist die modelle werden auf personalcomputern im anwendungspaket microsoft office excel und eviews implementiert,5,Экономика И Экономические Науки
die monographie enthält information über die eigenschaften der atmosphärenluft die verwendung der druckluft in den technologischen prozessen der erdölverarbeitenden betrieben in den automatisierungssystemen in druckluftantrieben in druckluftmotorbauarten in ergebnissen der experimentellen untersuchungen der kolbendruckluftmotoren mit grundsätzlich neuem system der gasverteilung mit selbsstätigenventilen es sind mathematische modelle der arbeitsprozesse von druckluftmotoren die die dynamik der bewegungsmechanismen die ergebnisse der numeri schen untersuchungen beachten dargestellt e sind empfehlungen zur bauarterstellung von kolben druckluftmotoren mit selbsstätigem system der gasverteilung gegeben die monographie ist den wissenschaftlern und aspiranten die sich mit der entwicklung und forschung der kolbenenergieanlagen und pneu matikeinheiten beschäftigen zu empfohlen,12,Языкознание
die sammlung ist eine sammlung von überlegungen zum thema heldentum und antiheldentum politische führung und kreative suche die grenzen der anerkennung erinnerung und vergessenheit e enthält artikel von führenden wissenschaftlern doktoranden und studenten die auf der allrussischen konferenz helden und antihelden in der weltgeschichte be juni in drei abschnitten vorgestellt wurden forschung freunde und feinde in der historisch philologischen und kulturanthropologischen dimension kulturelles gedächtnis historische figuren im kontext von mythen propaganda fakten,2,История. Исторические Науки
durch da einfuhrverbot für gemüsekonserven aus der ukraine und moldawien ging dem russischen markt ein teil der produkte verloren da diese länder etwa de gesamtmarktes für diese produkte belieferten hersteller von gemüsekonserven haben die chance die ukrainischen und moldauischen hersteller auf dem russischen konservenmarkt zu ersetzen,5,Экономика И Экономические Науки
dieser artikel analysiert die probleme und perspektiven für die entwicklung de ethnischen unternehmertums al grundlage für die verwirklichung des ethnonationalen potenzials der republik baschkortostan,5,Экономика И Экономические Науки
es wird für die nutzung durch studenten und doktoranden landwirtschaftlicher universitäten wissenschaftler sowie manager und spezialisten des agroindustriellen komplexes empfohlen,5,Экономика И Экономические Науки
der artikel befasst sich mit dem eigentlichen thema de einsatzes von marketingstrategien im unternehmen der druckindustrie der autor analysiert die wichtigsten marketingstrategien und instrumente die es ermöglichten eine reihe wichtiger schlussfolgerungen zu ziehen,15,Массовая Коммуникация. Журналистика. Средства Массовой Информации
so enthält die monographie eine untersuchung der entstehung und funktionsweise de arbeitsmarktes sowie de personalmanagements in unternehmen verschiedener wirtschaftszweige die monographie richtet sich an studierende doktoranden wirtschaftswissenschaftlicher fakultäten von universitäten studierende wirtschaftswissenschaftlicher fakultäten manager manager ökonomen kleiner mittlerer und großer wirtschaftsstrukturen und kann auch für jeden nützlich sein der sich für wirtschaft interessiert oder in der wirtschaft tätig ist untersucht die probleme de personalmanagements unter modernen wirtschaftsbedingungen,61,Организация И Управление
da memo enthält algorithmen für da sichere verhalten von mitarbeitern der organe für innere angelegenheiten der russischen föderation bei der entdeckung von sprengstoffen und explosiven stoffen sprengkörpern fragen der technogenen personensicherheit fragen der explosion und chemischen sicherheit von mitarbeitern der organe für innere angelegenheiten,6,Государство И Право. Юридические Науки
die sammlung umfasst materialien au den bereichen allgemeine psychologie und persönlichkeitspsychologie entwicklungspsychologie pädagogische und justizvollzugspsychologie sozial und rechtspsychologie allgemeine pädagogik moderne pädagogische technologien moderne informationstechnologien in bildungsaktivitäten theorie und methoden de lehrens und der erziehung vorschulpädagogik kompetenzbasierter ansatz in der bildung moderne methoden und modelle im unterrichten von fremdsprachen und kulturen theorie und methoden der körperlichen bildung bildung sporttraining gesundheit und adaptive körperkultur alle materialien werden in der autorenausgabe veröffentlicht,10,Народное Образование. Педагогика
die autoren der monographie konzentrieren sich auf die komplexität und mehrdeutigkeit der auswirkungen de äußeren sozialen umfelds vor allem der jüngsten globalisierungsprozesse auf die integrität de russischen staates von besonderem interesse sind materialien die die ziele der information und internetkriege offenbaren die heute gegen russland geführt werden im zusammenhang mit maßnahmen zur wahrung der integrität des staates werden fragen methodischer natur diskutiert basierend auf der untersuchung moderner chinesischer erfahrungen werden schlussfolgerungen gezogen die bei der lösung der dringenden probleme mit denen russland heute konfrontiert ist nützlich sein können,1,Философия
da lehrbuch diskutiert die grundlagen entstehung struktur und kompetenz lokaler regierungen governance liefert historische informationen über die entwicklung de rechtssystems einzelner länder und analysiert die modernen grundlagen de staatssystems alle angaben erfolgen unter berücksichtigung der neuesten gesetzesänderungen im ausland,6,Государство И Право. Юридические Науки
der artikel präsentiert die wichtigsten schlussfolgerungen der neuroökonomischen forschung und betrachtet ihre bedeutung und möglichkeit für die anwendung in der wirtschaftspraxis,11,Психология
der artikel befasst sich mit den irrationalen aspekten der mcdonaldisierung im bereich der hochschulbildung in russland be beispiel der hauptparameter mcdonaldisierter systeme werden die veränderungen betrachtet die in den letzten jahren im russischen bildungswesen stattgefunden haben es wird eine schlussfolgerung über die vorteile und dysfunktionalen merkmale der entwicklung der hochschulbildung gezogen,3,Социология
der artikel präsentiert die biografie und arbeitstätigkeit von o s ramm der in den jahren tätig war war mitarbeiter der staatlichen öffentlichen bibliothek,9,Культура. Культурология
der artikel bietet eine theoretische analyse der konzepte kompetenz und kompetenz beschreibt die ansichten von forschern zu diesem problem und stellt einen versuch dar die konzepte kompetenz und kompetenz aufzudecken und zu spezifizieren,10,Народное Образование. Педагогика
die sammlung umfasst materialien au den abschnitten stand und perspektiven der entwicklung der regionalen wirtschaft methodische probleme der analyse der regionalen entwicklung wettbewerbsfähigkeit der region und regionalpolitik natur und ressourcenpotenzial der region entwicklung innovatives potenzial russischer regionen regionale aspekte der nachhaltigen entwicklung ländlicher gebiete information und kommunikationstechnologien in der regionalen entwicklung regionale probleme der entwicklung des agroindustriellen komplexes probleme und perspektiven für die entwicklung de regionalen tourismus probleme der nachhaltigen entwicklung von gemeinden probleme de baus der technischen unterstützung und der verbesserung von städten in russland alle materialien werden in der autorenausgabe veröffentlicht,3,Социология
