,annotation,GRNTI
0,"Изменения в современном обществе происходят очень быстро, поэтому многие современные ученые утверждают, что основным фактором успешного развития страны, отдельного региона становятся творческие люди, которые создают экономические ценности в процессе творческой деятельности. Они уже составляют новый креативный класс. Регионы, где преобладает креативный класс, становятся центрами инноваций и развития.  В статье дан краткий теоретический обзор исследования проблемы творчества и креативности в психологии. Представлены результаты исследования уровня развития креативности школьников. Учащиеся, которые занимаются художественным творчеством, имеют более высокий уровень развития креативности.",15. психология
0,"В статье рассматриваются специфические особенности влияния психологических характеристик личности на успешность и эффективность ее профессиональной деятельности. Самооценка и межличностные отношения приобретают особую значимость в структуре профессионализации индивида. Специфика социального положения сотрудника в трудовом коллективе или организации определяется внешней оценкой окружающих людей, коллег, руководителя. Позитивное или негативное отношение ближайшего окружения участвует в формировании у персонала профессиональной самооценки своих возможностей и умений. Благодаря этому продуктивность его деятельности начинает зависеть от внешнего одобрения и поддержки. Однако сама личность также создает предпосылки для коррекции и регуляции своего профессионального поведения, своего профессионализма. Позитивная самооценка приобретает важный регулятивный характер в профессиональной деятельности персонала, стимулируя его творческий потенциал. Межличностные и деловые отношения, возникающие в организации, во многом соответствуют «рыночной» модели взаимодействия...",15. психология
0,"Регулярная физическая активность оказывает положительное влияние на состояние здоровья ветеранов спорта пенсионного возраста. Как показало исследование, ветераны спорта пенсионного возраста, продолжавшие занятия физической культурой после ухода из спорта менее подвержены заболеваниям сердечно-сосудистой системы.",77. физическая культура и спорт
0,"Разработанная и апробированная программа занятий оздоровительным бегом с детьми дошкольного возраста способствует повышению уровня физического развития и подготовленности занимающихся, а также повышению уровня их здоровья",14. народное образование. педагогика
0,"Программа по физической культуре, а именно теоретическая её часть, должна положительно влиять на уровень самооценки, самообразования и саморазвития девушек; формировать интерес и знания в области физической культуры, повышать качественную успеваемость, что придает уверенность девушкам и мотивирует их деятельность на успех",14. народное образование. педагогика
0,"В статье изложены некоторые методические подходы по проведению занятий в бассейне с детьми, имеющими поражения центральной нервной системы",76. медицина и здравоохранение
0,"На основе данных метода ультрафиолетовой фотоэлектронной спектроскопии и расчетов в приближении теории функционала плотности исследовано электронное строение трех производных аза-бор-дипиридометена, содержащих различные углеводородные группы у атома бора. В соответствии с экспериментальными и расчетными данными высшие заполненные молекулярные орбитали антрацена, акридина и исследованных комплексов имеют одинаковый характер. Для трех изученных соединений установлено влияние алкильных и фенильных групп в качестве заместителей на электронное строение. Сопоставлены параметры электронной структуры аза-бор-дипиридометена (фенильные группы у атома бора) и его b-дикетонатного аналога. Показано, что в области энергий до 11 эВ расчетные результаты коррелируют с ультрафиолетовыми фотоэлектронными спектрами.",31. химия
0,"Представлен краткий обзор результатов исследований ряда классов азотсодержащих хелатных комплексов бора методами ультрафиолетовой фотоэлектронной спектроскопии и теории функционала плотности. Квантово-химическое моделирование эффектов замещения комплексообразователя, гетероатомов, а также функциональных групп в α-, β- и γ-положениях хелатного цикла позволило установить особенности электронной структуры исследованных комплексов. Обнаружено, что замещение гетероатомов в хелатном цикле существенно не влияет на структуру верхней занятой молекулярной орбитали (ВЗМО). Для имидоиламидинатных комплексов, в отличие от формазанатов и b-дикетонатов, наблюдается отсутствие заметного смешивания p-орбиталей хелатного и бензольных циклов. В конденсированных азотных гетероциклах наблюдается стабилизация ВЗМО на 0,2-0,3 эВ и p-орбиталей бензольного цикла на 0,8-1,2 эВ. ВЗМО замещенных аза-бор-дипиридометена коррелирует с орбиталью p7 антрацена и акридина, что обусловливает тонкую структуру первой полосы. Показано, что в области энергий ниже 11 эВ расчетные результаты хорошо воспроизводят интервалы энергии между ионизованными состояниями комплексов.",31. химия
0,"Исследованы инфракрасные спектры комплексов ацетилацетоната дифторида бора и его галогензамещенных производных F2B(aaX) (X = H, Cl, Br, I) в кристаллическом состоянии. На основании квантово-химических расчетов методом DFT/B3LYP в базисе 6-311G( d, p ) выявлено влияние заместителя на геометрию и силовое поле молекул. Исходя из расчетов нормальных колебаний (НК) и распределения потенциальной энергии (РПЭ) выполнено детальное отнесение ИК полос поглощения. Наиболее чувствительные к природе заместителя полосы принадлежат колебаниям с преимущественным участием связей СС и СО кольца, а также некоторым низкочастотным нехарактеристическим НК с участием атома Х. Межмолекулярные взаимодействия, в подтверждение данных РСА, оказывают наибольшее влияние на характеристические полосы фрагмента BF2 в интервалах 1280-1220 и 875-835 см-1; приведены соответствующие этим взаимодействиям последовательности частотных сдвигов ИК полос в ряду заместителей.",29. физика
0,"Статья посвящена исследованию электронного строения и орбитальной природы возбуждения люминесценции ряда молекулярных кристаллов с общей формулой En AX6, где En  - органические и неорганические катионы (дифенилгуанидиний, гуанидиний и цезий); n - число катионов; AX6 - анионы Te(IV) и Sb(III); X - атомы галогенов Cl или Br. Электронное строение указанных молекулярных кристаллов определялось по данным методов рентгеновской фотоэлектронной спектроскопии остовных и валентных уровней и квантово-химического моделирования в рамках теории функционала плотности в сочетании с ранее полученными данными рентгеноструктурного анализа.",29. физика
0,"Исследовано влияние дополнительного ароматического лиганда на электронную структуру бис-ацетилацетонатов никеля(II) и кобальта(II) методами РФЭС и ТФП (B3LYP/def2-TZVPP). Анализ зарядов на атомах, геометрии соединений, распределения электронной плотности и взаимодействия молекулярных орбиталей составных частей комплекса позволил сделать вывод об ионной природе связывания нейтрального лиганда с бис-хелатом.",31. химия
0,"Методами УФЭ спектроскопии паров, РФЭС конденсированной фазы и квантовой химии исследованы аддукты трис -b-дикетонатов Eu(асас)3Phen и Eu(hfас)3Phen. Установлено электронное строение и особенности природы химических связей в аддуктах. Определена геометрическая структура исследованных соединений в газовой фазе. Разработана методика, с помощью которой проведено отнесение полос газофазных фотоэлектронных HeI-спектров, а также валентной области рентгеновских фотоэлектронных спектров. Квантово-химические расчеты в рамках теории функционала плотности позволили определить закономерности изменения электронного строения хелатных комплексов в зависимости от фторирования лиганда, исследовать влияние молекулы 1,10-фенантролина на электронную структуру хелатных циклов, а также проанализировать электронные эффекты, вызванные замещением в лигандах метильных групп на трифторметильные.",31. химия
0,"Методом рентгеновской фотоэлектронной спектроскопии (РФЭС) было проведено детальное исследование состояния компонентов высокоэффективных катализаторов низкотемпературного окисления монооксида углерода Pt/CeO2. Используя прецизионную калибровку спектров относительно внутреннего стандарта и процедуру разложения спектров Ce3d и Pt4f на элементарные дублеты, были установлены особенности взаимодействия платины с решеткой оксида церия. Показано, что при использовании метода соосаждения, в зависимости от качества исходных растворов, возможно получение как гомогенных твердых растворов платины в решетке оксида церия, так и растворов, содержащих полиатомные ассоциаты платины типа (PtO)m . Установлено, что при хранении гомогенных твердых растворов PtCeOx  на воздухе при комнатной температуре происходит медленный процесс перехода гомогенных растворов в состояние растворов с ассоциатами платины. Также были исследованы механические смеси наночастиц металлической платины и оксида церия, синтезированных методом лазерной абляции, по ходу их прокаливания на воздухе. Полученные на основе Pt4f спектров результаты полностью подтверждают специфику взаимодействия платины с оксидом церия.",31. химия
0,"Комплекс Cu(II)GHK (Cu(II)-Gly-His-Lys - Глицил-Гистидил-Лизин) представляет интерес в качестве модельного пептида для отработки методики исследования структуры металлических центров в белках, в частности, центра связывания меди в β-амилоиде. Были измерены спектры рентгеновского поглощения для водного раствора Cu(II)GHK. Стабильность комплекса под воздействием рентгеновского излучения контролировали с помощью оптической спектроскопии. Были рассмотрены структурные модели с различной координацией медного центра, построенные на базе кристаллографической структуры. На основании анализа теоретических спектров рентгеновского поглощения построенных структур были выбраны две оптимальные модели. Для выбранных моделей была проведена оптимизация структурных параметров. Установлено, что лучшее согласие с экспериментом показывает спектр пятикоординированной модели с молекулами воды в экваториальной и нижней аксиальной позициях с расстоянием Cu-O 1,97 и 2,31 Å соответственно.",31. химия
0,"Получена серия комплексов Cu, Ni и Mn на основе азометинов формил-пирона и формил-кумарина с 1,3-диаминопропанолом-2. Анализ структуры рентгеновских K-краев поглощения (XANES и EXAFS) комплексов Cu, Ni и Mn с использованием как Фурье-, так и вейвлет-преобразований позволил установить параметры локального атомного строения и однозначно доказать образование как димерных, так и мономерных структур для этих координационных соединений. Показано, что возможность образования биядерных соединений зависит в основном от природы мостикового лиганда и не зависит от типа полидентатного азометинового лиганда - пирона либо кумарина. Полученные структурные результаты находятся в хорошем согласии с данными магнетохимических исследований комплексов.",31. химия
0,"Нанокомпозитные системы на основе тройных полупроводниковых соединений ZnSx  Se1-x  различного состава (x = 0, 0,3, 0,5, 0,7, 1) в диэлектрических матрицах нанопористого анодного оксида алюминия (ААО) были синтезированы методом высоковакуумного термического распыления смеси порошков сульфида и селенида цинка. Исследовано влияние атомной концентрации твердых растворов и структурных параметров матрицы-темплата ААО на кристаллическую структуру синтезированных нанокомпозитов и локальное атомное окружение атомов Zn и Se.",31. химия
0,"В статье раскрываются особенности реализации механизма государственно-частного партнерства как одной из эффективных форм интеграции частного и государственного капитала, а также сферы применения такого партнерства в условиях рыночной экономики.",06. экономика и экономические науки
0,Рассмотрены маркетинговые коммуникации на материалах Республики Калмыкия.,06. экономика и экономические науки
0,"В статье рассматриваются случаи изменения отношения госслужащего по отношению к своему труду, на основе учета следующих параметров: формальное место работника в общей иерархии данного учреждения (его должностной статус); уровень общей культуры работника.",15. психология
0,"Оценка риска остается субъективной, несмотря на совершенство технологий. Невозможно просчитать все нюансы, часто вследствие какого-либо случайного непредвиденного фактора возрастает риск провала успеха. В этом случае организация несет потерю или финансовый убыток. Важно грамотно просчитать все возможные результаты и даже при отклонении от предполагаемого графика важно следует рассчитывать на прибыль, иначе дело будет провальным.",06. экономика и экономические науки
0,"В статье описываются структурные и семантические типы фразеологизмов-фитонимов с антропоцентрическим компонентом, бытующих в русских говорах на территории Республики Мордовия.",16. языкознание
0,Исследованы теоретические и методические вопросы устойчивого развития рынка молочной продукции в регионе,68. сельское и лесное хозяйство
0,"В статье на основе выявленных факторов и проявлений профессиональной деформации рассматриваются возможные направлений профилактики профессиональной деформации личности государственных гражданских служащих, которая определяется как негативные изменения личности государственного служащего, вызванные длительным выполнением одной и той же работы или спровоцированные противоречиями в труде, которые отрицательно сказываются как на эффективности выполняемой работы, так и на различных взаимоотношениях, возникающих в работе, так и вне работы.",06. экономика и экономические науки
0,"Содержит системное изложение программного курса культурологии: основы научно-теоретических знаний по теории и истории мировой культуры; включенные в темы модулей словари понятий и краткие перечни сведений о деятелях мировой культуры; материалы для практических и семинарских занятий; вопросы управляемой самостоятельной работы студентов. Приведена предлагаемая автором система рейтинговой оценки знаний студентов, а также вопросы текущего и результативного контроля. Предназначен для студентов гуманитарных специальностей вузов дневной и заочной форм обучения.",13. культура. культурология
0,"Программа сопровождения и жизнеустройства выпускников разработана на основе Программы развития детского дома г. Азова II поколения, Программы воспитания «Новое поколение», в соответствии с современной нормативно-правовой базой образования и воспитания Федерального, регионального уровня. Программа рассчитана на период до 2017 года и включает в себя формирование комплекса духовно-нравственных ценностей и философско-методологических установок всех субъектов процесса сопровождения и жизнеустройства, определяющих выбор форм и методов деятельности, характер взаимоотношений с окружающей средой в процессе формирования жизнестойкости воспитанников и их качества жизни.",14. народное образование. педагогика
0,"Парэховирусы относятся к числу наиболее распространенных патогенов человека, имеющих важное значение в инфекционной патологии новорожденных и детей первых лет жизни. Открытые первоначально как энтеровирусы, и во многом схожие с ними по клиническим проявлениям инфекции, вирусы ЕСНО22 и ЕСНО23 в конце XX века на основании особенностей молекулярной биологии были реклассифицированы как парэховирусы человека (в настоящее время вид Parechovirus A) и выделены в самостоятельный род Parechovirus семейства Picornaviridae.",76. медицина и здравоохранение
0,"Рассматриваются основы работы в системе AutoCad фирмы Autodesk, автоматизирующей конструкторскую деятельность, средства расширения системы.",50. автоматика. вычислительная техника
0,В современных условиях исследование качественной характеристики понятий «трудовой и,06. экономика и экономические науки
0,"Под рынком недвижимости можно рассматривать определенный набор механизмов, способствующих передаче прав на собственность и связанных с ней интересы, при этом происходит установление цен и распределение пространства между различными конкурирующими вариантами землепользования. С другой стороны, рынок недвижимости представляет собой совокупность отношений по созданию новых объектов недвижимости, а также с их эксплуатацией. Рынок недвижимости можно представить в виде совокупности региональных, локальных рынков, существенно отличающихся друг от друга по уровню цен, риска, эффективности инвестиций в недвижимость.",06. экономика и экономические науки
0,"В хрестоматии впервые представлены образцы пенитенциарного песенного фольклора жителей Кемеровской области, записанные в ходе фольклорных практик студентами и преподавателями НФИ КемГУ (ранее КузГПА, НГПИ) с 1980 по 2014 г. Примечания к текстам содержат необходимые сведения о собирателях, исполнителях (информантах), месте и времени записи текста, библиографию.",17. литература. литературоведение. устное народное творчество
0,"Проблема скороспелости остается одной из важных задач селекции пшеницы практически во всех регионах ее возделывания. В настоящем каталоге представлены результаты комплексного изучения скороспелых образцов яровой мягкой пшеницы из мировой коллекции ВИР в различных эколого-географических зонах России и бывшего СССР с целью выделения наиболее ценных источников этого признака. При проведении данной работы ставилась задача стандартизации подходов к комплексному изучению лучших образцов мировой коллекции. В экспериментах участвовали все опытные станции и опорные пункты, работающие с яровой мягкой пшеницей (полевое изучение), а также ряд методических лабораторий института и опытной сети (лабораторные анализы по важным для селекции признакам). Коллектив авторов выражает благодарность доктору с.-х. наук В.И. Кривченко (директор ВИР в 1987-1992 гг.), по инициативе и при поддержке которого проведено комплексное изучение скороспелых образцов яровой пшеницы. Подбор исходного материала, постановка задач исследования и его организация проходили под руководством доктора биол. наук А.Ф. Мережко.",34. биология
0,"UK EGG рада принять участие в этой совместной международной встрече с ISGEDR, чтобы поделиться исследованиями и клиническими разработками в этой быстро развивающейся и очень динамичной области геномики в офтальмологии. Эта встреча представляет собой уникальную возможность для установления и развития рабочих отношений и сотрудничества в офтальмологическом генетическом сообществе во всем мире и представит разнообразную и увлекательную программу презентаций ученых, клиницистов и исследователей, занимающих передовые позиции в этой области. Среди прочего, офтальмология выходит на передний план исследований в области генной терапии во всем мире, и в этом году в Великобритании открывается ряд испытаний на ранней стадии, так что это очень захватывающее и уникальное время для тех, кто работает в этой области.",76. медицина и здравоохранение
0,"Предназначено для начального обучения автоматизированному конструированию элементов на основе системы AutoCad. Содержит индивидуальные задания из области машиностроения, поэтому имеет практическую ценность.",50. автоматика. вычислительная техника
0,"Цель данного исследования состоит в разработке и совершенствовании научно обоснованной методики интегральной оценки кадрового потенциала высшего учебного заведения в рамках модернизации образовательной деятельности. Монография базируется на обширном статистическом материале, способствующем творческому осмыслению практики качественной и количественной оценки кадрового потенциала вуза.",06. экономика и экономические науки
0,"Излагаются основные сведения о протоколах и службах. Рассматриваются средства конфигурирования и управления серверами, программирование динамических веб страниц.",50. автоматика. вычислительная техника
0,"В статье рассматриваются особенности развития инвестиционных процессов, обеспечивающих сбалансированное и устойчивое развития региона.",06. экономика и экономические науки
0,"Статья посвящена исследованию проблем состояния и тенденций развития региональной экономики и социальной сферы, а также определению приоритетных направлений, позволяющие повысить привлекательность и конкурентоспособность региона.",06. экономика и экономические науки
0,"Рынок образовательных услуг обладает рядом особенностей, во-первых, эта сфера регулируется государством; во-вторых, образовательные услуги имеют общественно-значимый характер и социальную ценность, на образовательные учреждения наложена миссия сохранения и развития интеллектуального потенциала нации, и в связи с этим возрастает уровень ответственности образовательных учреждений. Данная специфика влияет на выбор каналов и коммуникационных технологий продвижения, диктует особую стилистику взаимодействия с целевыми аудиториями, контактными группами и широкой общественностью.",06. экономика и экономические науки
0,"Учебно-методическое пособие по выполнению выпускной квалификационной работы для студентов очного и заочного отделений факультета Агробизнеса и экологии по направлению подготовки «Агрономия», направленность «Агробизнес»",14. народное образование. педагогика
0,"Предлагается алгоритм прогнозирования экономических переменных, которые нельзя точно замерить, известен  только ориентировочный интервал их измерения. Приведен пример прогнозирования потребительских расходов на душу населения. Использование данного алгоритма прогнозирования будет способствовать стремлению исследователя более подробно разобраться в механизме взаимодействия экономических переменных и позволит ему укрепиться в свое мнении о предполагаемых интервалах изменения как независимых, так и зависимых переменных.",06. экономика и экономические науки
0,В статье рассматривается необходимость развития водного транспорта путем применения механизма государственно-частного партнерства (ГЧП).,82. организация и управление
0,"Рассмотрена экономическая эффективность системы электроснабжения, включающей ветроэлектрические установки и фотоэлектрические преобразователи, аккумуляторы электрической энергии и дублирующую дизельную электростанцию. Показана эффективность совместного использования ветровых и солнечных энергоустановок.",44. энергетика
0,"В сборник вошли материалы секций: «Искусствоведение», «Литературоведение», «Религиоведение, философская антропология, философия культуры», «Современные проблемы науки и образования», «Социология культуры, духовной жизни», «Судьбы национальных культур в условиях глобализации», «Теория и история культуры», «Этика, эстетика, логика», «Языкознание». Все материалы публикуются в авторской редакции.",00. общественные науки в целом
0,"В монографии исследуются теоретические и прикладные проблемы уголовной ответственности за убийство (ст.ст. 105-108 УК РФ). Анализируя детально составы преступлений, связанных с убийствами, автор подробно останавливается на таких сложных вопросах, как объект посягательств на жизнь, адекватность системы наказаний за эти преступления, латентность убийств, необходимость реформирования уголовного законодательства в части регламентации ответственности за убийства. Много места в монографии занимает решение квалификационных проблем. В работе широко используются специальная научная литература, посвященная уголовной ответственности за убийства, а также опубликованная судебная практика. Для научных работников, преподавателей и студентов (бакалавров и магистрантов, в том числе) юридических учебных заведений, сотрудников правоприменительных органов и всех, интересующихся проблемами уголовного права, уголовного законодательства и уголовно-правовой политики.",10. государство и право. юридические науки
0,"Учебное пособие содержит базовые сведения по стратегическому управлению организацией. Предназначено для использования в учебном процессе в рамках проведения курса «Стратегическое управление», а также для самостоятельной работы студентов экономических специальностей всех форм обучения.",06. экономика и экономические науки
0,"Пособие предназначено для студентов, обучающихся по направлению «Экономика», программа «Международные финансы (на английском языке)». В книге представлены современные практические примеры построения эконометрических моделей реальных экономических систем. Представленные примеры будут полезны студентам при самостоятельном написании домашних творческих работ. Приводится подробное описание всех этапов построения моделей, необходимое для понимания причинно-следственных связей в экономике для планирования, прогнозирования и принятия решений. Модели реализованы на персональных компьютерах в пакете прикладных программ Microsoft Office Excel и EViews.",06. экономика и экономические науки
0,"В монографии приведены сведения о свойствах атмосферного воздуха, использовании сжатого воздуха в технологических процессах нефтеперерабатывающих заводов, в системах автоматизации, в пневматических приводах, о типах пневматических двигателей, о результатах экспериментальных исследований поршневого сжатого воздуха. двигатели с принципиально новой системой газораспределения - с автоматическими клапанами. Представлены математические модели рабочих процессов пневматических двигателей, учитывающие динамику механизмов движения и результаты численных исследований. Даны рекомендации по проектированию поршневых пневмодвигателей с автоматической системой газораспределения. Монография рекомендуется ученым и соискателям, занимающимся разработкой и исследованием поршневых силовых установок и пневматических агрегатов.",16. языкознание
